axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
blandit mi in porttitor pede justo eu massa,395675.62,lacinia sapien quis libero,3,5,8.17,8.7,8.91,metus vitae ipsum aliquam,3,2,21.02,15301.17,33527.51,48.46,86302.49,25.6
vel dapibus at diam nam tristique tortor eu pede,330727.1,ac enim,7,5,18.46,8.88,16.95,sapien quis libero nullam sit,3,2,46.55,77959.87,48087.17,32.05,10734.82,38.77
congue vivamus metus arcu adipiscing molestie hendrerit at,143922.3,non quam nec,4,3,6.81,19.81,11.52,libero nam dui proin leo,2,3,37.33,31349.27,97359.16,48.67,54829.59,21.12
ipsum dolor sit amet consectetuer adipiscing,248190.82,varius ut blandit non interdum,4,4,9.08,11.13,19.18,purus aliquet at,2,2,48.12,48109.99,10169.44,33.33,43323.84,46.47
maecenas pulvinar lobortis est phasellus,337800.99,sit amet,9,2,6.97,14.82,14.51,vel augue vestibulum,3,3,32.63,50955.49,47711.36,40.13,69667.91,30.02
sit amet erat nulla tempus vivamus in felis eu,124536.89,est et tempus,9,9,13.26,14.67,18.67,pretium quis lectus suspendisse,3,3,29.99,76526.48,31929.67,36.74,70531.65,22.78
in leo maecenas pulvinar lobortis est phasellus sit amet,335426.19,montes nascetur ridiculus mus vivamus,7,9,12.04,8.79,12.28,nunc viverra dapibus nulla suscipit,3,2,28.08,80668.49,50918.63,37.25,45596.05,43.25
rutrum neque aenean auctor gravida,332385.19,in lacus,6,9,15.5,7.27,10.91,eu felis fusce,2,4,28.54,18374.89,73392.4,45.05,83100.11,44.92
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,220195.75,quam turpis adipiscing lorem vitae,3,10,8.59,18.21,19.05,purus sit amet,2,3,44.68,74926.7,28609.22,27.65,15221.7,43.94
consequat varius integer ac leo pellentesque,121526.78,quis tortor id nulla,4,7,7.11,10.07,18.86,varius nulla facilisi cras,4,3,30.95,97016.11,62518.1,33.73,73481.29,34.91
aliquam sit amet diam in magna,272925.45,dui maecenas tristique,8,9,19.07,20.0,8.47,sapien quis,3,4,30.66,67850.1,24393.42,21.53,26205.4,40.15
rhoncus aliquam lacus morbi quis tortor,469638.02,morbi ut odio,4,5,15.62,18.55,18.96,eleifend quam,3,2,38.27,82383.25,11878.83,39.22,41875.99,21.52
sapien ut nunc vestibulum ante ipsum primis in faucibus orci,484091.64,proin risus praesent,8,9,6.21,10.79,15.28,varius integer ac leo,3,4,34.89,11149.48,92559.88,31.22,90728.25,23.59
convallis morbi odio odio elementum eu interdum eu tincidunt,230699.24,quisque arcu,7,5,12.84,8.16,8.67,nisi venenatis tristique,4,4,29.62,83035.71,74072.44,42.79,63028.65,33.38
potenti in eleifend quam a odio in hac,470631.38,quisque arcu libero,7,10,16.59,13.91,10.35,sapien in sapien iaculis congue,3,2,24.76,72307.4,40923.95,27.03,39910.89,34.59
mattis nibh ligula nec sem duis aliquam,433650.13,luctus et ultrices posuere cubilia,6,5,9.3,13.86,19.7,erat quisque,4,2,22.89,80575.9,73135.4,25.04,20029.22,47.29
velit vivamus vel nulla eget eros elementum,269219.04,nec dui luctus,7,7,14.75,12.75,9.97,eros suspendisse accumsan tortor quis,4,2,22.28,32382.26,30106.45,25.93,28753.11,29.72
ante vel ipsum praesent blandit lacinia erat,157862.84,faucibus cursus,7,5,18.22,14.6,7.09,scelerisque quam turpis adipiscing lorem,4,2,42.15,52504.62,51127.19,27.67,24483.96,32.9
cras non velit nec nisi,292072.67,rhoncus aliquam lacus,9,6,10.13,9.64,6.18,vitae ipsum aliquam,4,2,20.62,64220.16,69832.31,29.75,75147.34,38.62
elementum in hac habitasse platea dictumst morbi vestibulum velit id,111543.05,in leo maecenas pulvinar lobortis,8,9,10.54,10.94,7.11,erat vestibulum sed magna at,3,2,46.61,42946.02,63722.08,24.05,19879.16,35.41
eleifend pede libero quis orci nullam molestie,137334.25,ligula in lacus,7,7,8.4,9.09,6.76,curabitur gravida nisi at nibh,3,3,31.0,94859.83,95616.54,26.25,45113.89,44.95
ipsum dolor sit amet consectetuer adipiscing elit,448994.27,lobortis ligula sit amet,5,6,7.54,7.51,17.8,malesuada in imperdiet,3,3,44.56,88997.75,28090.53,26.23,74613.36,31.54
neque duis bibendum morbi non quam nec dui,249948.47,turpis donec posuere metus vitae,8,4,6.3,19.98,14.01,justo aliquam,3,4,48.72,57228.15,46670.54,28.93,80205.69,21.38
risus dapibus augue vel accumsan tellus nisi eu,401412.95,id luctus nec molestie sed,6,6,17.82,7.86,10.13,justo eu,2,4,38.6,60864.81,52356.15,28.3,96231.96,48.89
faucibus orci luctus et ultrices posuere cubilia curae,121679.31,et ultrices posuere,10,8,8.85,11.74,17.81,aenean sit amet justo morbi,2,3,20.84,13632.0,10521.48,33.98,58242.23,33.9
luctus et ultrices posuere cubilia curae mauris viverra,224828.08,magna vestibulum,9,4,10.73,10.24,13.32,in hac habitasse platea,3,4,44.39,31305.17,74707.96,47.54,50886.18,32.49
nulla neque libero convallis eget eleifend luctus,266401.47,volutpat eleifend donec ut dolor,8,3,16.31,9.17,17.29,nulla sed accumsan,4,4,22.04,60112.94,31334.3,46.4,66415.14,24.76
at velit vivamus vel nulla eget,281516.86,volutpat quam pede lobortis ligula,3,10,19.25,14.62,13.84,ante ipsum primis,4,2,25.23,20448.36,96652.82,40.95,13987.03,49.67
nullam orci pede venenatis non sodales,415266.23,nulla nisl,5,6,16.81,11.0,19.02,a suscipit nulla elit,3,4,31.04,53639.06,79723.19,37.92,29138.29,34.5
ornare consequat lectus in est risus auctor sed tristique in,408883.95,luctus et ultrices posuere,3,7,17.56,17.76,14.57,mus vivamus,2,2,21.52,37823.07,36491.5,31.17,98065.02,38.36
enim in tempor turpis nec,111394.32,consectetuer eget,3,4,7.36,19.57,19.3,sollicitudin ut suscipit a feugiat,3,4,44.81,34167.33,42566.54,33.8,71496.53,23.17
nibh in hac habitasse platea,404941.35,nullam orci pede venenatis,7,10,7.32,10.53,9.95,ornare consequat,3,2,38.29,60016.48,58588.95,40.29,67314.62,35.44
congue vivamus metus arcu adipiscing molestie,183458.91,eget massa,10,4,19.84,19.3,12.38,faucibus orci luctus et,4,4,21.6,65098.94,71577.43,39.55,16007.58,29.72
ultrices aliquet maecenas leo odio,213328.64,nulla suspendisse potenti cras,8,7,19.67,14.33,13.58,sapien varius,3,4,47.64,67499.11,61730.89,26.39,71444.33,44.81
magna bibendum imperdiet nullam orci pede venenatis non sodales,453006.4,mattis odio donec,5,4,10.48,11.79,9.12,scelerisque mauris,4,4,30.5,53369.0,43626.68,34.55,96998.3,33.78
turpis enim blandit mi in,186442.8,imperdiet sapien urna pretium nisl,5,2,9.02,12.55,14.2,ut nulla sed,2,3,21.01,30295.94,95340.02,23.75,87020.29,20.65
sapien placerat ante nulla justo,112159.64,non velit nec nisi vulputate,4,3,8.74,15.69,6.51,nibh fusce lacus purus aliquet,3,2,26.14,79733.19,38475.49,23.49,53576.9,31.09
nec dui luctus rutrum nulla,498626.48,viverra diam vitae quam suspendisse,8,2,10.4,16.85,8.11,in faucibus,2,2,37.34,13715.88,67487.35,41.88,65345.21,49.31
platea dictumst aliquam augue quam,101901.39,sagittis dui vel nisl,3,9,18.56,13.15,6.47,dolor sit,4,3,28.8,62955.06,52898.14,20.13,88474.3,32.74
enim sit amet nunc viverra dapibus nulla suscipit ligula in,393916.17,vel accumsan,10,4,7.04,12.1,9.67,vestibulum ante ipsum primis,3,2,38.17,27869.74,22966.72,38.54,79223.82,46.77
quisque id justo sit amet sapien,211514.58,dictumst etiam,3,4,17.67,7.96,8.56,quam pharetra magna ac consequat,2,4,44.09,96216.55,67090.2,48.63,68322.74,32.92
dolor sit amet consectetuer adipiscing elit proin risus,407179.97,nulla ut erat id,10,2,14.82,17.31,15.84,luctus et,3,2,38.02,79243.61,66499.92,34.74,49150.95,31.48
justo etiam pretium iaculis justo,134228.41,consectetuer adipiscing elit proin risus,5,8,9.58,11.48,9.54,purus phasellus in felis,3,4,45.01,29061.39,56713.84,40.31,24466.22,45.77
nullam varius nulla facilisi cras non,237875.47,nam congue risus,10,4,7.57,15.83,8.8,non ligula pellentesque ultrices phasellus,3,3,21.98,61519.79,11118.77,23.72,62462.98,21.86
lorem ipsum dolor sit amet consectetuer,224524.55,proin eu mi nulla ac,7,2,9.04,10.88,14.32,parturient montes nascetur,3,2,28.74,48106.07,94960.79,27.78,79980.0,47.59
at velit vivamus vel nulla eget eros elementum pellentesque,113145.12,integer ac leo pellentesque ultrices,4,3,19.05,12.64,9.61,amet sem fusce,2,4,28.58,13671.11,14603.63,21.86,23884.19,47.64
leo pellentesque ultrices mattis odio donec,198789.64,fermentum justo nec condimentum neque,10,2,13.15,10.24,7.21,quam pharetra magna ac,2,3,30.72,15858.29,17693.24,23.66,46574.07,30.6
tincidunt lacus at velit vivamus,147564.48,donec quis,10,7,8.47,16.48,13.61,vel augue vestibulum,2,4,43.03,94256.64,81015.61,32.91,24506.0,48.49
elit proin risus praesent lectus,314223.64,sit amet,10,10,9.6,12.4,17.25,amet nunc,2,4,41.18,21402.77,35470.17,38.38,92077.3,33.13
semper est quam pharetra magna ac,230849.45,praesent id massa id nisl,4,4,16.09,19.43,19.69,in eleifend,3,2,46.4,42776.26,85169.7,28.72,50964.37,21.25
orci nullam molestie nibh in lectus pellentesque,476846.29,scelerisque quam turpis adipiscing,9,5,19.5,19.08,19.94,nec molestie sed,3,4,34.54,13183.98,70725.08,44.93,95691.85,25.57
turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,144372.84,justo in blandit,9,9,12.75,12.9,6.01,mi in porttitor,3,4,36.31,53858.03,73756.57,33.17,72000.0,40.93
placerat ante nulla justo aliquam quis,485679.0,lobortis convallis tortor risus dapibus,10,2,19.47,7.13,15.22,rutrum nulla tellus,4,4,36.09,90953.23,94068.43,39.5,51702.58,32.97
blandit ultrices enim lorem ipsum dolor sit amet consectetuer,251383.56,mattis egestas metus,3,3,15.18,13.16,11.41,primis in faucibus orci luctus,2,4,34.49,67632.75,75891.93,43.72,22978.1,33.77
pede ullamcorper augue a suscipit,478101.23,eu orci mauris,3,3,11.44,8.29,15.67,natoque penatibus et magnis,2,2,42.88,51341.78,19963.33,34.9,41326.17,38.64
amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,197505.54,rutrum rutrum neque,5,3,9.26,6.18,18.1,a libero,4,2,49.08,37077.94,35175.0,24.27,47250.69,45.4
orci pede venenatis non sodales sed,250340.59,orci luctus,7,4,16.69,6.42,16.84,sit amet justo,4,2,31.74,31121.82,75288.92,20.91,69762.83,30.41
cubilia curae donec pharetra magna,479675.73,nulla sed accumsan,9,4,15.0,8.53,14.01,penatibus et magnis dis,2,4,21.49,24649.8,97818.04,37.17,44435.74,24.15
massa quis augue luctus tincidunt,439983.03,eu magna vulputate luctus,7,8,6.38,13.19,11.11,nec nisi volutpat,3,4,41.04,61711.63,23424.67,27.85,79525.22,21.63
nam dui proin leo odio porttitor id consequat,476656.41,sollicitudin ut suscipit a feugiat,4,9,17.05,11.65,6.09,enim leo,4,2,46.6,12571.65,34457.47,27.08,48432.97,41.19
nullam porttitor lacus at turpis,202128.75,augue vestibulum,7,5,12.62,8.82,7.98,et commodo,3,4,32.91,88793.21,82932.22,30.43,37802.4,30.99
libero ut massa volutpat convallis morbi,283127.17,lobortis ligula sit,10,9,6.88,14.24,7.03,nibh quisque id justo sit,4,2,47.88,39127.16,36880.0,38.93,22605.79,29.8
et magnis dis parturient montes nascetur,383112.19,posuere felis sed,3,10,9.61,19.0,15.69,ante ipsum,4,2,27.45,73489.32,49149.45,24.27,28848.44,30.46
enim lorem ipsum dolor sit amet consectetuer adipiscing elit,458575.93,sit amet,4,5,8.26,7.06,15.21,posuere felis sed lacus,2,3,28.12,22585.34,57887.19,24.75,93241.39,21.2
sed sagittis nam congue risus semper porta volutpat quam,121629.97,nec nisi vulputate nonummy,10,7,14.34,18.31,16.15,urna ut,3,3,41.9,62997.05,21757.29,28.91,17453.93,23.19
tristique fusce congue diam id ornare imperdiet sapien urna pretium,238900.69,lobortis ligula sit,3,8,13.99,11.3,16.21,blandit nam nulla integer,3,2,47.83,55593.67,64480.96,42.42,83420.65,32.84
nam tristique tortor eu pede,495886.78,nulla sed vel enim sit,8,10,6.64,11.71,13.69,dui proin,3,2,32.11,11631.55,15727.85,32.2,54098.48,46.27
elementum in hac habitasse platea dictumst,423139.66,ligula vehicula,7,2,10.63,18.42,19.4,nisi venenatis tristique,4,3,46.14,20615.96,85360.89,30.45,67965.86,40.52
ipsum primis in faucibus orci luctus et ultrices posuere cubilia,119502.84,pede ullamcorper augue a suscipit,3,6,12.97,10.91,19.0,odio in,3,3,42.02,86449.1,40694.65,26.87,32543.49,42.35
mus etiam vel augue vestibulum rutrum rutrum,106003.04,donec ut mauris eget,6,4,9.27,14.39,11.99,velit id,4,2,20.33,75528.79,67804.02,23.63,42330.81,36.93
sapien quis libero nullam sit amet turpis elementum ligula,184615.39,tincidunt nulla mollis molestie,10,8,14.59,13.46,11.38,massa donec dapibus,2,4,47.19,25834.46,57616.15,20.17,94446.81,23.63
molestie lorem quisque ut erat curabitur gravida,352515.06,neque sapien placerat,3,2,7.53,12.47,10.97,vel sem sed sagittis nam,2,4,46.16,46406.21,72939.42,38.81,24399.68,30.99
enim in tempor turpis nec euismod,122097.77,ipsum aliquam,9,3,18.73,13.55,15.94,consequat ut,2,2,32.53,28512.39,16409.31,31.94,72596.09,20.71
ante ipsum primis in faucibus orci luctus et ultrices posuere,246022.93,at diam nam tristique,5,9,12.59,6.39,11.12,et commodo vulputate,4,3,32.95,18823.69,66287.12,30.8,75775.64,40.01
diam erat fermentum justo nec condimentum neque sapien placerat,213845.04,nec nisi,6,8,16.01,14.63,19.52,primis in,2,4,43.96,29240.58,89418.06,42.15,85366.78,39.79
accumsan tellus nisi eu orci mauris lacinia sapien quis libero,386228.69,pretium iaculis justo in hac,5,10,11.28,13.75,6.14,faucibus orci luctus et ultrices,4,4,44.32,67981.73,13095.07,43.96,81967.26,20.96
felis sed lacus morbi sem mauris laoreet,140156.62,nisi volutpat,6,9,13.84,9.41,7.29,mus etiam vel augue vestibulum,2,4,47.93,25005.77,62527.01,26.96,94536.27,47.1
leo odio porttitor id consequat in consequat ut nulla sed,327874.42,vel accumsan tellus,4,5,11.8,9.05,10.64,in imperdiet et,4,3,42.61,24362.05,74537.89,31.59,71263.21,27.37
consectetuer adipiscing elit proin interdum mauris,390572.19,nullam molestie,10,6,7.91,6.95,17.89,phasellus in,2,4,31.88,29342.01,83510.91,39.52,99270.59,22.79
faucibus cursus urna ut tellus nulla,338626.13,nulla ut erat id,10,4,8.72,11.43,16.19,rutrum nulla,4,2,41.97,77624.97,32834.44,44.57,90179.46,33.34
eu tincidunt in leo maecenas pulvinar lobortis,110811.54,lacinia eget,9,6,13.1,19.03,6.47,donec ut,3,4,47.56,84066.42,81566.77,31.12,72538.42,49.7
donec odio justo sollicitudin ut suscipit,412888.13,dui vel sem,5,9,11.18,13.54,7.8,sapien dignissim,3,4,28.78,93396.69,76254.63,46.49,70901.94,25.51
maecenas tincidunt lacus at velit vivamus vel nulla eget eros,348840.88,neque aenean,5,7,10.68,16.99,7.54,tortor risus dapibus augue vel,4,3,24.76,12920.65,21041.91,44.38,90421.0,41.67
ornare imperdiet sapien urna pretium nisl ut,135477.27,in eleifend quam a odio,4,6,19.03,11.06,11.86,habitasse platea dictumst maecenas ut,3,3,42.77,51099.62,86021.65,25.2,10923.38,40.95
condimentum neque sapien placerat ante nulla justo,130338.09,et ultrices posuere cubilia curae,10,2,15.36,18.33,16.35,cras non velit nec,4,4,47.01,21924.63,75609.98,31.06,73783.23,39.46
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,254910.43,amet cursus id,9,10,10.18,7.66,11.94,ut tellus nulla,2,3,42.46,94977.79,37117.29,25.21,14695.6,24.01
pede libero quis orci nullam molestie nibh in lectus pellentesque,207555.5,non mauris morbi non lectus,6,10,12.92,18.78,12.83,bibendum imperdiet nullam,2,2,34.29,48307.29,82578.67,27.38,63608.17,32.13
est lacinia nisi venenatis tristique fusce congue diam,169328.0,mi sit,5,10,18.28,16.25,8.12,sagittis dui vel nisl duis,4,2,44.8,37348.28,43935.29,31.09,66525.07,31.22
mattis nibh ligula nec sem duis aliquam convallis nunc proin,456288.4,scelerisque mauris,10,2,14.45,15.94,10.79,elementum pellentesque quisque,3,2,43.34,36989.28,61417.21,32.79,16231.88,20.38
a ipsum integer a nibh in quis justo maecenas rhoncus,160638.61,nulla mollis molestie,3,8,11.6,11.95,15.44,ultrices posuere,4,2,38.73,55035.79,19450.79,35.68,27767.1,31.38
in lectus pellentesque at nulla suspendisse potenti cras,174131.95,eget rutrum at lorem,6,2,18.3,12.2,19.28,in porttitor pede justo eu,4,4,42.25,19977.81,69340.36,37.47,84588.62,27.13
rutrum neque aenean auctor gravida sem praesent,199387.67,at ipsum ac tellus semper,7,3,19.42,11.29,8.36,in lacus,3,2,31.87,67609.98,92518.4,24.75,75615.85,38.84
proin eu mi nulla ac,424789.6,erat quisque erat eros viverra,7,2,11.64,10.03,9.64,nascetur ridiculus,4,4,39.41,10848.28,15024.52,30.1,97852.81,26.74
nunc proin at turpis a pede posuere nonummy,160286.78,luctus et,7,4,6.28,18.69,17.38,in imperdiet et commodo vulputate,2,4,24.31,50715.02,93483.37,25.73,15447.69,48.73
mauris eget massa tempor convallis nulla neque,187019.07,a ipsum integer,10,2,15.34,6.99,18.94,in hac habitasse platea,3,3,22.87,35956.31,36154.43,36.98,20743.87,34.25
risus praesent lectus vestibulum quam sapien varius ut blandit non,116058.12,elementum pellentesque,9,5,11.39,7.21,8.89,lobortis ligula sit amet eleifend,3,4,48.72,50446.35,96475.14,38.98,12520.0,45.97
tincidunt lacus at velit vivamus vel nulla,269715.16,nunc commodo placerat praesent,7,4,16.29,17.86,14.28,ut massa volutpat convallis morbi,4,3,21.47,89116.59,61977.43,44.79,48959.0,40.46
eros suspendisse accumsan tortor quis turpis,418522.26,quam suspendisse,10,2,8.88,16.36,12.78,vivamus vel nulla,3,3,27.53,89380.63,72266.7,29.11,92899.43,20.37
justo aliquam quis turpis eget elit sodales scelerisque mauris,267107.59,nam congue risus semper porta,6,3,17.18,12.84,11.74,vitae nisi,3,3,25.52,36086.58,29752.18,32.64,17478.05,49.0
sem praesent id massa id nisl venenatis lacinia,469152.83,sollicitudin mi sit amet lobortis,3,4,7.18,13.7,17.02,velit vivamus,4,4,49.33,45063.15,53853.18,35.3,74482.29,48.94
in magna bibendum imperdiet nullam orci,341407.0,volutpat sapien arcu sed,6,10,6.17,16.92,10.47,viverra pede ac diam,2,4,29.25,26433.39,98929.16,33.51,30544.09,39.52
mauris lacinia sapien quis libero nullam sit,185352.53,quis turpis sed ante,5,6,12.37,11.92,8.9,et eros vestibulum,2,3,33.36,97125.64,25557.34,39.59,67140.31,36.85
nulla sed accumsan felis ut at,477079.2,nam dui proin leo odio,6,4,12.03,14.7,6.83,consectetuer adipiscing elit proin,2,3,37.58,48983.34,86168.65,26.96,19504.04,30.0
erat tortor sollicitudin mi sit amet lobortis sapien sapien,257411.05,accumsan felis ut at dolor,3,4,15.44,17.39,12.49,pulvinar lobortis,2,2,35.37,46377.99,53962.83,33.33,65232.67,29.85
semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,221336.83,in consequat ut nulla,6,9,15.21,13.72,19.54,dolor morbi vel lectus,2,4,43.65,12403.64,47263.13,46.64,26457.0,23.64
donec pharetra magna vestibulum aliquet ultrices,139573.23,ut at,8,7,13.59,11.14,10.0,felis sed lacus morbi sem,3,2,24.49,82710.38,82648.99,29.8,16459.16,49.85
eu magna vulputate luctus cum sociis natoque,438145.05,nulla tellus,10,6,16.75,8.29,18.24,morbi ut odio cras,2,4,49.68,97284.74,93644.98,48.23,22635.59,24.67
eget tempus vel pede morbi porttitor lorem id,398206.0,nisl nunc rhoncus,5,10,14.93,8.55,13.72,volutpat eleifend,2,4,36.72,58711.21,99120.7,47.71,37027.69,25.7
orci luctus et ultrices posuere cubilia curae donec pharetra magna,219587.78,purus aliquet,10,10,18.01,7.58,7.55,turpis enim blandit mi,2,3,48.28,59926.92,18548.54,37.87,21990.97,34.5
faucibus orci luctus et ultrices posuere cubilia curae donec,209773.41,nulla ultrices aliquet maecenas leo,4,9,8.38,10.76,17.36,lectus in quam fringilla rhoncus,4,4,46.18,21582.22,54495.77,36.69,59079.95,27.8
viverra diam vitae quam suspendisse,168304.24,dapibus at,8,4,16.07,12.5,11.12,lectus in quam fringilla,2,4,26.79,71202.75,19711.1,25.19,82528.54,32.56
morbi odio odio elementum eu interdum eu tincidunt in leo,443065.66,est et tempus semper est,7,10,10.1,6.59,15.56,nulla sed vel enim sit,3,2,40.87,56251.74,77963.33,25.99,26815.63,37.09
cras in purus eu magna vulputate luctus cum,216672.38,morbi vestibulum,10,8,10.1,13.59,8.94,rutrum at,3,3,48.86,54156.81,62254.17,23.27,23402.46,42.59
platea dictumst aliquam augue quam sollicitudin,316382.51,viverra dapibus,6,7,13.75,15.64,10.69,dolor quis odio,3,4,44.74,63464.64,69645.4,39.79,53889.05,44.77
sem praesent id massa id nisl venenatis lacinia aenean sit,202688.83,penatibus et magnis,9,3,6.4,14.54,7.27,non quam nec dui luctus,2,4,21.66,87123.06,23831.11,39.72,98051.44,40.41
nulla ac enim in tempor turpis nec euismod scelerisque quam,302523.73,ac nulla sed vel enim,9,4,17.17,13.0,15.26,pharetra magna ac,3,4,41.35,25827.68,74365.01,29.97,43658.4,43.76
sit amet sem fusce consequat nulla nisl nunc nisl duis,160551.02,interdum mauris ullamcorper,6,4,11.82,14.45,8.46,quisque erat eros viverra,2,4,33.13,92211.24,18289.51,42.85,15479.9,35.1
auctor gravida sem praesent id massa id,185821.38,donec quis orci eget orci,6,3,18.99,19.61,9.42,porta volutpat quam,3,2,43.78,33111.44,81472.38,29.83,40149.33,26.4
sapien varius ut blandit non interdum in ante,499420.18,non mauris,9,2,10.51,6.69,8.11,eu massa,4,2,27.96,66516.76,41192.47,35.28,37148.89,20.37
velit id pretium iaculis diam erat fermentum justo,397011.0,in hac habitasse platea dictumst,4,3,10.59,14.87,7.01,mi integer ac,2,2,26.09,79793.38,12634.53,48.46,77616.09,21.57
fusce consequat nulla nisl nunc nisl duis,355203.7,ultrices erat tortor,9,9,10.78,14.02,7.39,donec diam neque vestibulum,2,3,49.02,18024.74,63394.05,40.92,98015.35,34.98
elit proin interdum mauris non,288362.0,congue risus,3,9,6.06,6.56,12.87,iaculis congue vivamus metus,4,2,21.13,13535.72,78609.2,39.6,56601.0,21.55
ut nulla sed accumsan felis,232701.04,nullam varius nulla facilisi,6,5,9.53,8.0,10.98,maecenas tristique est et,2,4,24.79,23025.35,71825.61,20.03,26943.2,34.36
at velit vivamus vel nulla eget eros elementum pellentesque quisque,401171.8,pede ac diam cras,3,7,17.17,12.78,12.77,luctus tincidunt,3,3,36.9,47440.92,32169.52,39.07,60064.49,29.23
justo pellentesque viverra pede ac,288221.38,felis sed lacus morbi,6,9,7.43,18.43,14.2,est lacinia nisi,4,4,44.33,40605.99,49939.19,36.98,28132.14,39.91
in faucibus orci luctus et ultrices posuere cubilia curae,138115.78,nulla eget eros,3,9,6.59,12.66,18.52,porttitor lacus at turpis donec,2,3,36.33,57724.13,54636.41,38.04,14147.08,47.11
dui luctus rutrum nulla tellus,466414.44,at turpis,4,3,17.78,14.37,8.15,et tempus semper,4,3,35.55,23731.05,29111.88,36.96,20960.6,27.85
lacinia erat vestibulum sed magna at nunc commodo,337621.89,penatibus et,5,6,8.85,7.67,14.18,semper sapien a libero nam,2,2,38.55,73792.63,56265.1,40.95,37334.4,45.42
tempus vel pede morbi porttitor lorem id ligula suspendisse,232551.12,at ipsum ac tellus semper,10,7,18.02,11.8,15.76,aliquam sit amet diam,3,2,43.24,14889.96,37102.15,47.9,66508.61,20.14
in leo maecenas pulvinar lobortis est phasellus sit amet erat,416756.31,vivamus vestibulum sagittis sapien cum,3,8,10.33,16.54,11.03,dis parturient,2,4,42.55,28801.87,33447.71,33.8,76914.68,43.19
vel accumsan tellus nisi eu,368242.49,elit proin interdum,10,9,14.5,10.94,6.38,eget eros elementum pellentesque,4,3,29.56,16069.86,21506.57,46.86,46279.41,45.77
mattis odio donec vitae nisi nam ultrices libero non mattis,333255.2,lectus aliquam sit amet diam,4,2,12.75,12.57,18.28,duis at velit eu,4,3,43.09,39142.11,30548.42,32.87,96594.28,42.74
nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,471744.69,pede lobortis ligula sit,3,9,6.38,12.59,6.5,non quam nec dui luctus,2,2,38.83,93701.57,93240.31,44.8,46479.87,22.58
in faucibus orci luctus et ultrices,382936.13,massa id lobortis convallis tortor,10,10,10.04,8.35,17.69,morbi vel lectus in quam,3,4,23.19,92730.97,21025.01,30.37,24579.95,40.37
mi nulla ac enim in tempor turpis nec euismod,450429.07,enim blandit mi in porttitor,9,8,19.11,19.29,13.83,eu orci mauris,2,4,21.57,94306.32,20794.19,33.59,82114.19,20.1
volutpat quam pede lobortis ligula sit amet,368814.36,lectus pellentesque,9,2,15.7,18.7,6.58,ut massa volutpat convallis,4,3,27.66,95879.08,30621.46,32.19,99358.46,45.16
non lectus aliquam sit amet diam in magna bibendum,365209.56,in eleifend quam a,10,7,16.51,8.55,11.06,lobortis vel dapibus,2,4,22.55,54395.19,15131.97,42.43,21323.79,48.84
mauris eget massa tempor convallis nulla,437653.93,amet consectetuer adipiscing elit proin,3,8,9.17,19.69,9.32,sed ante vivamus,4,3,29.37,84851.49,50137.18,20.95,44553.16,35.64
massa id lobortis convallis tortor risus,390332.88,amet turpis elementum ligula vehicula,8,3,13.07,16.0,15.19,quis libero nullam,2,2,41.37,64654.31,96042.02,26.84,90069.67,43.57
massa id nisl venenatis lacinia aenean,402660.82,in hac,8,2,16.53,11.64,15.94,donec vitae nisi nam,4,4,28.37,46894.93,29885.93,33.21,48133.7,25.73
proin risus praesent lectus vestibulum quam sapien,333829.67,aenean fermentum,10,6,11.34,18.26,7.37,ut volutpat sapien,3,4,44.77,17240.65,90534.57,32.48,65573.23,42.79
dapibus nulla suscipit ligula in,271896.95,risus praesent,3,7,17.28,10.15,12.87,eros suspendisse accumsan tortor quis,4,2,24.48,35930.73,25516.25,37.67,45040.87,23.73
porttitor pede justo eu massa donec dapibus,215819.01,a ipsum integer a,6,10,13.98,12.82,13.41,orci luctus,3,2,24.35,76533.12,21185.8,48.13,15942.89,27.16
justo morbi ut odio cras mi,171917.82,eros vestibulum ac,9,7,10.93,11.79,11.81,luctus rutrum nulla,2,3,46.44,39540.72,49663.25,40.5,20031.8,35.65
venenatis turpis enim blandit mi in porttitor pede justo,409666.91,eget eros,7,6,8.46,11.39,7.63,in congue,4,3,36.76,84101.42,20396.06,28.77,55162.37,40.02
cras mi pede malesuada in imperdiet et,296011.77,at nulla suspendisse potenti cras,3,6,13.94,9.38,15.46,platea dictumst maecenas ut massa,4,3,20.08,55701.91,16413.97,22.19,17555.07,23.78
duis ac nibh fusce lacus,162845.16,feugiat non,10,10,6.13,19.12,19.06,mattis nibh,4,4,28.88,19122.85,66427.21,35.0,51609.88,36.0
ullamcorper augue a suscipit nulla elit ac nulla sed,444973.0,integer aliquet massa id lobortis,3,5,19.38,19.69,16.8,a libero nam,2,4,29.83,54476.05,73836.37,48.06,96937.7,32.8
